2019/05/10 02:25:24 [notice] 25#25: signal process started
2019/05/10 02:29:25 [error] 26#26: *16 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 27.38.32.31, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "134.175.99.71:8084", referrer: "https://134.175.99.71:8084/"
2019/05/10 03:31:14 [error] 6#6: *1 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 27.38.32.31, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "134.175.99.71", referrer: "http://134.175.99.71/"
2019/05/10 03:32:06 [error] 6#6: *6 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 27.38.32.31, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "134.175.99.71", referrer: "https://134.175.99.71/"
2019/05/10 06:55:31 [error] 6#6: *1 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 27.38.32.31, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "134.175.99.71", referrer: "http://134.175.99.71/"
2019/05/10 07:59:22 [error] 6#6: *24 open() "/usr/share/nginx/html/404/search_children.js" failed (2: No such file or directory), client: 120.132.3.65, server: localhost, request: "GET http://www.qq.com/404/search_children.js HTTP/1.1", host: "www.qq.com"
2019/05/10 09:42:36 [emerg] 1#1: cannot load certificate "/etc/ssl/private/server.crt": BIO_new_file() failed (SSL: error:02001002:system library:fopen:No such file or directory:fopen('/etc/ssl/private/server.crt','r') error:2006D080:BIO routines:BIO_new_file:no such file)
2019/05/10 09:46:33 [emerg] 1#1: cannot load certificate "/etc/ssl/private/server.crt": BIO_new_file() failed (SSL: error:02001002:system library:fopen:No such file or directory:fopen('/etc/ssl/private/server.crt','r') error:2006D080:BIO routines:BIO_new_file:no such file)
2019/05/10 09:49:44 [error] 6#6: *9 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 27.38.32.31, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "134.175.99.71", referrer: "https://134.175.99.71/"
2019/05/10 14:03:51 [error] 6#6: *28 open() "/usr/share/nginx/html/mysql/admin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysql/admin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:03:52 [error] 6#6: *29 open() "/usr/share/nginx/html/mysql/dbadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysql/dbadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:03:52 [error] 6#6: *30 open() "/usr/share/nginx/html/mysql/sqlmanager/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysql/sqlmanager/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:03:52 [error] 6#6: *31 open() "/usr/share/nginx/html/mysql/mysqlmanager/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /mysql/mysqlmanager/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:03:53 [error] 6#6: *32 open() "/usr/share/nginx/html/phpmyadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpmyadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:03:54 [error] 6#6: *33 open() "/usr/share/nginx/html/phpMyadmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpMyadmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
2019/05/10 14:03:54 [error] 6#6: *34 open() "/usr/share/nginx/html/phpMyAdmin/index.php" failed (2: No such file or directory), client: 220.133.18.143, server: localhost, request: "GET /phpMyAdmin/index.php?lang=en HTTP/1.1", host: "134.175.99.71"
